sku_id,proveedor_origen,mascota,marca,categoria,nombre_producto,formato,etapa_edad,precio_pet_mayorista,precio_local_transferencia,precio_local_debito,estado
FIVE-00001,GEPSA,Gato,9 Lives,Alimentos,ADULTO PESCADO,8KG,Adulto,15600,17000,17850,Activo
FIVE-00002,GEPSA,Gato,9 Lives,Alimentos,ADULTO PESCADO,15KG,Adulto,24600,27000,28350,Activo
FIVE-00003,GEPSA,Gato,9 Lives,Alimentos,ADULTO CARNE,8KG,Adulto,15600,17000,17850,Activo
FIVE-00004,GEPSA,Gato,9 Lives,Alimentos,ADULTO CARNE,15KG,Adulto,24600,27000,28350,Activo
FIVE-00005,GEPSA,Gato,9 Lives,Alimentos,ADULTO HOGAREÑO,15KG,Adulto,25700,28000,29400,Activo
FIVE-00006,GEPSA,Gato,9 Lives,Alimentos,9LIVE GATITO,8KG,Cachorro / Gatito,16000,18000,18900,Activo
FIVE-00007,GEPSA,Perro,Amici,Alimentos,AMICI ADULTO MIX,22KG,Adulto,23500,26000,27300,Activo
FIVE-00008,GEPSA,Perro,Amici,Alimentos,AMICI ADULTO CARNE,20KG,Adulto,23500,26000,27300,Activo
FIVE-00009,GEPSA,Perro,Amici,Alimentos,AMICI CACHORRO,22KG,Cachorro / Gatito,25000,27000,28350,Activo
FIVE-00010,GEPSA,Gato,Amici,Alimentos,GATO PESCADO,10KG,Todas las edades,16500,16500,17325,Activo
FIVE-00011,GEPSA,Gato,Amici,Alimentos,GATO MIX,10KG,Todas las edades,17000,17000,17850,Activo
FIVE-00012,GEPSA,Gato,Amici,Alimentos,GATO PESCADO,15KG,Todas las edades,19500,19500,20475,Activo
FIVE-00013,GEPSA,Gato,Amici,Alimentos,GATO MIX,15KG,Todas las edades,19000,19000,19950,Activo
FIVE-00014,GEPSA,Perro,Compinche,Alimentos,COMPINCHES PERRO ADULTO,25KG,Adulto,19000,20000,21000,Activo
FIVE-00015,GEPSA,Gato,Compinche,Alimentos,COMPINCHES GATO ADULTO,20KG,Adulto,23000,27000,28350,Activo
FIVE-00016,GEPSA,Perro,Ganacan,Alimentos,GANACAN CACHORRO,22KG,Cachorro / Gatito,21000,23000,24150,Activo
FIVE-00017,GEPSA,Perro,Ganacan,Alimentos,GANACAN ADULTO CARNE,22KG,Adulto,21000,23000,24150,Activo
FIVE-00018,GEPSA,Perro,Ganacan,Alimentos,GANACAN ADULTO MIX,25KG,Adulto,21000,23000,24150,Activo
FIVE-00019,GEPSA,Gato,Ganacat,Alimentos,GANACAT PESCADO,10KG,Todas las edades,15000,17000,17850,Activo
FIVE-00020,GEPSA,Gato,Ganacat,Alimentos,GANACAT MIX,10KG,Todas las edades,15000,17000,17850,Activo
FIVE-00021,GEPSA,Perro,Magnifico,Alimentos,MAGNIFICO PERRO,10KG,Todas las edades,10000,10000,10500,Activo
FIVE-00022,GEPSA,Perro,Odwalla,Alimentos,ODWALLA ADULTO,25KG,Adulto,31500,32000,33600,Activo
FIVE-00023,GEPSA,Perro,Odwalla,Alimentos,ODWALLA CACHORRO,25KG,Cachorro / Gatito,34000,35000,36750,Activo
FIVE-00024,GEPSA,Perro,Odwalla,Alimentos,ODWALLA ADULTO,15KG,Adulto,21000,21000,22050,Activo
FIVE-00025,GEPSA,Perro,Odwalla,Alimentos,ODWALLA CACHORRO,15KG,Cachorro / Gatito,25000,18000,18900,Activo
FIVE-00026,GEPSA,Perro,Top Nutrition,Alimentos,Top Nutrition Perros Cachorros Small Breed,BULTO8X1KG,Cachorro / Gatito,8000,8000,8400,Activo
FIVE-00027,GEPSA,Perro,Top Nutrition,Alimentos,Top Nutrition Perros Cachorros Small Breed,BULTO4X3KG,Cachorro / Gatito,14600,14600,15330,Activo
FIVE-00028,GEPSA,Perro,Top Nutrition,Alimentos,Top Nutrition Perros Cachorros Small Breed,"7,5KG",Cachorro / Gatito,31000,31000,32550,Activo
FIVE-00029,GEPSA,Perro,Top Nutrition,Alimentos,Top Nutrition Perros Adultos Small Breed,BULTO8X1KG,Adulto,7200,7200,7560,Activo
FIVE-00030,GEPSA,Perro,Top Nutrition,Alimentos,Top Nutrition Perros Adultos Small Breed,BULTO4X3KG,Adulto,14600,14600,15330,Activo
FIVE-00031,GEPSA,Perro,Top Nutrition,Alimentos,Top Nutrition Perros Adultos Small Breed,"7,5KG",Adulto,25300,25300,26565,Activo
FIVE-00032,GEPSA,Perro,Top Nutrition,Alimentos,Top Nutrition Perros Cachorros Medium Breed,BULTO4X3KG,Cachorro / Gatito,16500,16500,17325,Activo
FIVE-00033,GEPSA,Perro,Top Nutrition,Alimentos,Top Nutrition Perros Cachorros Medium Breed,"7,5KG",Cachorro / Gatito,31500,31500,33075,Activo
FIVE-00034,GEPSA,Perro,Top Nutrition,Alimentos,Top Nutrition Perros Cachorros Medium Breed,15KG,Cachorro / Gatito,42500,42500,44625,Activo
FIVE-00035,GEPSA,Perro,Top Nutrition,Alimentos,Top Nutrition Perros Cachorros Medium Breed,BULTO4X3KG,Cachorro / Gatito,15500,15500,16275,Activo
FIVE-00036,GEPSA,Perro,Top Nutrition,Alimentos,Top Nutrition Perros Adultos Medium Breed,"7,5KG",Adulto,27000,27000,28350,Activo
FIVE-00037,GEPSA,Perro,Top Nutrition,Alimentos,Top Nutrition Perros Adultos Medium Breed,15KG,Adulto,39000,39000,40950,Activo
FIVE-00038,GEPSA,Perro,Top Nutrition,Alimentos,Top Nutrition Perros Cachorros Large Breed,BULTO4X3KG,Cachorro / Gatito,17000,17000,17850,Activo
FIVE-00039,GEPSA,Perro,Top Nutrition,Alimentos,Top Nutrition Perros Cachorros Large Breed,15KG,Cachorro / Gatito,46000,46000,48300,Activo
FIVE-00040,GEPSA,Perro,Top Nutrition,Alimentos,Top Nutrition Perros Adultos Large Breed,BULTO4X3KG,Adulto,17700,17700,18585,Activo
FIVE-00041,GEPSA,Perro,Top Nutrition,Alimentos,Top Nutrition Perros Adultos Large Breed,15KG,Adulto,41000,41000,43050,Activo
FIVE-00042,GEPSA,Perro,Top Nutrition,Alimentos,Top Nutrition Perros Adultos Large Breed,25KG,Adulto,61000,61000,64050,Activo
